equipo,semana,t_prom,pct_fuera,pct_cumplimiento,interaccion,des_carga,correcciones,riesgo_final
1,1,4.370861069626263,0.5704285838459496,0.839196365086843,71.90609389379256,0.0780093202212182,2,0.2802270237473225
1,2,4.003377500251196,0.0857200907531644,0.7905330837693118,33.94881053189702,0.3609993861334123,13,0.3093254093806167
1,3,2.9110519961044856,0.1090949803242603,0.5100427059120604,51.29695700716764,0.2623782158161189,11,0.3602593129976061
1,4,4.598748745437299,0.0279993979281692,0.9842533113048756,46.293993830121295,0.0453032172664104,13,0.1875745799631888
1,5,2.797064039425237,0.3085406630481669,0.7554487413172255,33.25152889039984,0.3037724259507192,4,0.277346882333856
1,6,9.479815801163674,0.3379729307073235,0.6312499015239497,31.117637655414995,0.1154469128110745,11,0.3796373282082624
1,7,4.961372443656412,0.0732229409068672,0.6971061460667621,32.40719647806529,0.454660201039391,3,0.243605789544212
1,8,4.8264028704212025,0.1247649977209132,0.740620196691995,32.1919304718891,0.4211423872974992,11,0.3253187751479556
1,9,9.455490474077704,0.5368964102565893,0.7587399872866512,94.53119645161816,0.0442462510259597,6,0.3483672817444381
1,10,8.600804638103362,0.4483920660824285,0.7238152794334478,71.07258159646938,0.482627653632069,11,0.4696856140251955
1,11,5.884264748424236,0.0845545349848575,0.8813181884524238,35.21854505758396,0.4934434683002586,7,0.220025231233249
1,12,1.12671840443576,0.119305442453283,0.82680517164919,85.31228783718439,0.3029799873905057,9,0.2497389895817124
1,13,6.066442,0.032233,0.852486,73.292702,0.0,3,0.144438
1,14,4.40539,0.232289,0.658276,71.878455,0.413811,9,0.383444
1,15,6.501908,0.067562,0.806256,29.375226,0.431074,8,0.285918
1,16,3.42986,0.474611,0.742878,41.642282,0.220025,10,0.399011
1,17,6.355381,0.31981,1.0,42.148932,0.192566,5,0.266608
1,18,8.271306,0.213295,0.659837,32.482746,0.391996,11,0.429283
1,19,3.471108,0.280968,0.775727,56.60207,0.42987,9,0.357308
1,20,5.432103,0.292104,0.838054,17.854558,0.225593,7,0.28136
1,21,4.515332,0.527871,0.656727,73.933475,0.0,7,0.363815
1,22,6.819462,0.374636,0.857682,43.482792,0.201123,12,0.398062
1,23,1.8389,0.01399,0.650233,63.040676,0.304844,11,0.276164
1,24,5.675421,0.357892,0.724127,62.106916,0.166895,7,0.322105
1,25,2.052488,0.330789,0.704742,51.834609,0.362867,10,0.376471
1,26,4.987885,0.152809,0.751939,12.532555,0.032233,3,0.161253
1,27,6.320718,0.058532,0.715792,81.58543,0.219317,11,0.298731
1,28,4.70179,0.049822,0.720531,70.974651,0.0,10,0.267216
1,29,3.661994,0.0,0.77033,39.30323,0.320322,9,0.291444
